Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
RPS4Y1,-9.9407,6.7869e-05,0.82712,0.82712,0.82712
NNAT,-8.1407,0.00023577,1,0.99956,0.99956
TTTY15,-7.9959,0.00026012,1,0.99956,0.99956
ALMS1,7.3881,0.00036457,1,0.99956,0.99956
ZNF542,-6.392,0.00075589,1,0.99956,0.99956
PABPC3,-6.0919,0.00096872,1,0.99956,0.99956
GEMIN8,5.3137,0.0017636,1,0.99956,0.99956
CFLAR,-5.1896,0.0019912,1,0.99956,0.99956
KDM5C,5.1735,0.002025,1,0.99956,0.99956
PSIMCT-1,-4.9954,0.002337,1,0.99956,0.99956
EIF1AY,-4.8398,0.0026565,1,0.99956,0.99956
USP9Y,-4.7381,0.0029663,1,0.99956,0.99956
ZFY,-4.6751,0.0031667,1,0.99956,0.99956
AACSP1,-4.6053,0.0034072,1,0.99956,0.99956
NLGN4X,4.558,0.0035996,1,0.99956,0.99956
SETD1B,4.5564,0.0036048,1,0.99956,0.99956
PANX1,4.5261,0.0036967,1,0.99956,0.99956
ZNF582,-4.4357,0.0040956,1,0.99956,0.99956
JAK2,4.3923,0.0042987,1,0.99956,0.99956
NFE2L2,-4.3642,0.0044259,1,0.99956,0.99956
CNTN4,-4.2274,0.0051,1,0.99956,0.99956
BCL7B,4.1446,0.0055788,1,0.99956,0.99956
ZNF660,4.1007,0.0058467,1,0.99956,0.99956
FUK,4.0971,0.0058758,1,0.99956,0.99956
EXTL3,4.079,0.005972,1,0.99956,0.99956
KDM4A,4.0123,0.0064422,1,0.99956,0.99956
KDM5D,-4.0051,0.0064775,1,0.99956,0.99956
TXLNG,3.9225,0.006998,1,0.99956,0.99956
HECTD2,3.8977,0.0072353,1,0.99956,0.99956
MRPL9,-3.8929,0.0072904,1,0.99956,0.99956
PRPS2,-3.8468,0.0076714,1,0.99956,0.99956
PPP1R11,3.8416,0.0077104,1,0.99956,0.99956
LOC349196,3.8131,0.0079586,1,0.99956,0.99956
LINC00662,3.8018,0.0080656,1,0.99956,0.99956
ZNF187,3.7636,0.0084259,1,0.99956,0.99956
SLC17A6,3.7097,0.0089257,1,0.99956,0.99956
WDR37,-3.6282,0.0097122,1,0.99956,0.99956
UBE2Q2P2,3.6027,0.010011,1,0.99956,0.99956
PARP16,3.488,0.011575,1,0.99956,0.99956
WDFY3,3.4804,0.011675,1,0.99956,0.99956
DEXI,3.4794,0.011688,1,0.99956,0.99956
ZFP112,3.4677,0.011868,1,0.99956,0.99956
TYW1B,-3.4613,0.01197,1,0.99956,0.99956
RELN,3.4536,0.012067,1,0.99956,0.99956
ACTR3B,3.4444,0.012166,1,0.99956,0.99956
BLVRA,3.4391,0.012248,1,0.99956,0.99956
HMGB3,3.4072,0.012707,1,0.99956,0.99956
ZNF672,3.3841,0.013147,1,0.99956,0.99956
GYG2,3.3838,0.013153,1,0.99956,0.99956
NAA10,3.3519,0.013683,1,0.99956,0.99956
NDUFAF5,3.3302,0.014096,1,0.99956,0.99956
NUBPL,3.3295,0.014111,1,0.99956,0.99956
CCNG1,-3.3262,0.014187,1,0.99956,0.99956
PQLC1,3.3033,0.014549,1,0.99956,0.99956
ZNF90,-3.3022,0.014575,1,0.99956,0.99956
RFT1,-3.3002,0.014629,1,0.99956,0.99956
KANK1,3.2797,0.015023,1,0.99956,0.99956
