Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
KDM5D,-28.398,6.2115e-09,7.2868e-05,7.2868e-05,7.3116e-05
NNAT,-26.7256,8.4183e-06,0.049378,0.049378,0.049546
HIST1H3I,25.4165,1.6852e-05,0.065896,0.065896,0.06612
DSC3,22.798,4.1437e-05,0.12153,0.11697,0.11737
TTTY15,-21.715,4.9854e-05,0.11697,0.11697,0.11737
RPS4Y1,-18.0257,6.6775e-05,0.13056,0.13056,0.131
PCDHA10,-12.9392,0.00018498,0.31001,0.28967,0.29066
NLRP2,12.6021,0.00020196,0.29615,0.28967,0.29066
ZNF582-AS1,-12.2852,0.00024404,0.31809,0.28967,0.29066
IQCE,-12.2395,0.00025218,0.29583,0.28967,0.29066
PCDHA11,11.8025,0.00030267,0.32279,0.28967,0.29066
NAA10,11.3796,0.00033695,0.3294,0.28967,0.29066
RASIP1,-11.2715,0.00034531,0.3116,0.28967,0.29066
RBMS2,11.0532,0.00036222,0.30351,0.28967,0.29066
SHROOM3,10.9858,0.00037039,0.28967,0.28967,0.29066
KIAA1967,-10.3932,0.00049609,0.36373,0.35938,0.3606
LOC541471,10.3172,0.00052078,0.35938,0.35938,0.3606
EMC10,-9.9915,0.00060269,0.39279,0.37712,0.3784
PLAT,9.9654,0.0006108,0.37712,0.37712,0.3784
EIF4G1,-9.4847,0.00069583,0.40814,0.38698,0.38829
CRYBA1,9.2542,0.00079629,0.44483,0.38698,0.38829
PRKX,9.2448,0.00080541,0.42947,0.38698,0.38829
IRAK1BP1,9.2181,0.00081367,0.41501,0.38698,0.38829
ZNF547,9.2079,0.00082251,0.40204,0.38698,0.38829
ZNF542,-9.0772,0.00083911,0.39375,0.38698,0.38829
SOX15,-8.9905,0.00087198,0.39343,0.38698,0.38829
PERP,8.7897,0.00093071,0.40438,0.38698,0.38829
HLA-C,8.7657,0.00093873,0.3933,0.38698,0.38829
ESRRG,8.7365,0.00095663,0.38698,0.38698,0.38829
GSK3A,-8.5002,0.0011164,0.43655,0.4172,0.41862
TGFB1,8.3384,0.001192,0.45106,0.4172,0.41862
ANXA1,8.3216,0.0012231,0.44839,0.4172,0.41862
GYG2,8.3046,0.0012446,0.44246,0.4172,0.41862
EIF1AX,-8.288,0.0012585,0.43423,0.4172,0.41862
CRYAA,8.1751,0.0012843,0.43045,0.4172,0.41862
SDPR,8.1215,0.0013093,0.42666,0.4172,0.41862
RWDD2B,-8.1173,0.0013158,0.4172,0.4172,0.41862
CRYBB1,7.827,0.0014956,0.46172,0.44482,0.44633
MCMBP,7.7941,0.0015112,0.45457,0.44482,0.44633
CDKN3,-7.7495,0.0015198,0.44573,0.44482,0.44633
ACTN1,7.7077,0.0015546,0.44482,0.44482,0.44633
ELK3,7.5984,0.0016464,0.45987,0.45987,0.46143
ISG15,7.4193,0.0017164,0.46828,0.46188,0.46345
MT2A,7.4131,0.0017324,0.46188,0.46188,0.46345
CRYBA4,7.2407,0.0018572,0.48416,0.48004,0.48168
APP,7.2283,0.0018823,0.48004,0.48004,0.48168
PLCL2,7.1444,0.0019579,0.48869,0.48055,0.48218
LAMB1,7.0867,0.0020264,0.49524,0.48055,0.48218
APOE,7.0818,0.0020401,0.48843,0.48055,0.48218
ADAR,7.079,0.0020482,0.48055,0.48055,0.48218
SLC1A2,6.9609,0.0021518,0.49497,0.49292,0.49459
TFCP2,-6.9546,0.0021849,0.49292,0.49292,0.49459
ADAMTS6,6.8345,0.0023205,0.51362,0.49713,0.49882
C1orf85,6.8298,0.002334,0.50704,0.49713,0.49882
SERPINF1,-6.8232,0.0023614,0.50366,0.49713,0.49882
FAM18B2,-6.7395,0.0024451,0.51221,0.49713,0.49882
PAK3,6.7083,0.0024729,0.50894,0.49713,0.49882
S100A11,6.7012,0.0025003,0.50571,0.49713,0.49882
SCARNA9L,-6.6866,0.0025279,0.50264,0.49713,0.49882
OR10C1,6.6381,0.0025536,0.49928,0.49713,0.49882
ANXA3,6.6188,0.0026147,0.50285,0.49713,0.49882
PSIMCT-1,-6.6,0.0026347,0.49851,0.49713,0.49882
GNG5,6.5674,0.0026906,0.50101,0.49713,0.49882
USP9Y,-6.5325,0.0027225,0.49902,0.49713,0.49882
BMF,6.5064,0.0027545,0.49713,0.49713,0.49882
ZNF506,-6.4656,0.0028086,0.4992,0.4992,0.5009
TAGLN2,6.4237,0.0028906,0.50611,0.50611,0.50783
PMAIP1,6.3175,0.0030662,0.52897,0.52897,0.53077
OBSL1,-6.2589,0.0031832,0.54119,0.53714,0.53897
PYGL,6.2427,0.0032052,0.53714,0.53714,0.53897
ERGIC3,6.1114,0.0034283,0.56645,0.56645,0.56838
RPS4X,6.0488,0.0035384,0.57653,0.57089,0.57283
NOTCH2,6.0458,0.0035525,0.57089,0.57089,0.57283
LEO1,-5.9908,0.0036479,0.57829,0.57318,0.57513
FLNB,5.9711,0.0036962,0.57814,0.57318,0.57513
CD99,5.9667,0.0037167,0.57369,0.57318,0.57513
DNASE2,5.9527,0.0037622,0.57318,0.57318,0.57513
SMOX,5.9239,0.0038712,0.58223,0.57637,0.57833
IGFBP7,5.9026,0.0039053,0.57991,0.57637,0.57833
IFT81,-5.8995,0.0039305,0.57637,0.57637,0.57833
MAPK8IP2,-5.8744,0.0040255,0.58301,0.57639,0.57835
PCDHA4,-5.8731,0.0040289,0.57639,0.57639,0.57835
RNF181,5.8426,0.0041227,0.5827,0.57703,0.57899
NDN,-5.8412,0.0041318,0.57703,0.57703,0.57899
DECR1,5.8172,0.0042442,0.58575,0.58211,0.58408
TCP11L1,-5.7831,0.0042674,0.58211,0.58211,0.58408
KDM5C,5.7464,0.0043194,0.58243,0.58243,0.58441
SLC2A12,5.6726,0.0044747,0.59651,0.59651,0.59854
SLC20A1,5.6186,0.0047184,0.62193,0.6089,0.61097
EIF1AY,-5.5574,0.0048466,0.63173,0.6089,0.61097
TRIM22,5.5571,0.0048481,0.62498,0.6089,0.61097
ABCF1,-5.5365,0.0049126,0.62642,0.6089,0.61097
CDK2AP1,5.5187,0.0049975,0.63039,0.6089,0.61097
ECM1,5.509,0.0050336,0.62819,0.6089,0.61097
CDC42EP1,5.4891,0.0050886,0.62837,0.6089,0.61097
DDX3Y,-5.4867,0.0050998,0.62319,0.6089,0.61097
FAHD2A,5.4744,0.0051553,0.62348,0.6089,0.61097
CYR61,5.4603,0.0051793,0.61998,0.6089,0.61097
DSP,5.4602,0.0051794,0.61374,0.6089,0.61097
REEP3,5.4586,0.0051904,0.6089,0.6089,0.61097
CEP97,5.4403,0.0052593,0.61087,0.61087,0.61295
NCAM2,5.3553,0.0055513,0.63846,0.63506,0.63722
CHCHD3,5.3472,0.0055899,0.63665,0.63506,0.63722
NPC2,5.3356,0.00563,0.63506,0.63506,0.63722
CTDSPL2,5.3066,0.0057447,0.64183,0.64183,0.64401
KIRREL,5.2856,0.0058325,0.64549,0.6423,0.64448
PRIM1,5.2751,0.0058622,0.64271,0.6423,0.64448
EMP3,5.2603,0.0059132,0.6423,0.6423,0.64448
VKORC1L1,5.2318,0.0060247,0.64841,0.64804,0.65024
SLC1A5,5.2191,0.0060765,0.64804,0.64804,0.65024
CHGB,-5.1745,0.0062296,0.65838,0.64827,0.65048
DIABLO,-5.1631,0.0062774,0.65751,0.64827,0.65048
TCP10L,5.1384,0.0063693,0.66123,0.64827,0.65048
PCDHB15,-5.1294,0.0064005,0.65864,0.64827,0.65048
OR10G7,5.1287,0.0064017,0.65303,0.64827,0.65048
SOCS2-AS1,5.1269,0.0064103,0.64827,0.64827,0.65048
CAT,-5.1151,0.0064845,0.65017,0.65017,0.65238
MRPL14,5.0973,0.0065917,0.65532,0.65532,0.65755
AKAP17A,5.0871,0.0066525,0.65581,0.65581,0.65804
ZFP36L1,5.0674,0.0067355,0.65845,0.65759,0.65983
ZFY,-5.0504,0.0067827,0.65759,0.65759,0.65983
CAPN2,5.0293,0.0068755,0.66113,0.66113,0.66337
CTSF,-5.0093,0.0069845,0.66614,0.66614,0.66841
CHCHD2,4.9798,0.0071555,0.67696,0.67344,0.67573
CALU,4.9697,0.007218,0.6774,0.67344,0.67573
ZNF763,4.9641,0.0072332,0.67344,0.67344,0.67573
DCC,4.9208,0.0074133,0.68478,0.68478,0.68711
GRK4,-4.8846,0.0076545,0.70153,0.69691,0.69928
KAT7,-4.8829,0.0076636,0.69691,0.69691,0.69928
IL32,4.8602,0.0077651,0.70072,0.70072,0.7031
SQSTM1,4.845,0.0078665,0.70445,0.70445,0.70685
WWTR1,4.8378,0.0079377,0.70544,0.70544,0.70784
SDC1,4.8203,0.0080553,0.71051,0.70896,0.71137
RPL13P5,4.7992,0.0081299,0.71174,0.70896,0.71137
F2RL2,4.7961,0.0081587,0.70896,0.70896,0.71137
LEPRE1,4.776,0.0083102,0.71683,0.70901,0.71142
CITED1,-4.763,0.0083542,0.71536,0.70901,0.71142
SLITRK4,-4.7451,0.0084034,0.71436,0.70901,0.71142
SLC2A3,4.7407,0.0084452,0.71275,0.70901,0.71142
PPM1G,4.737,0.0084614,0.70901,0.70901,0.71142
DSG2,4.7199,0.0085615,0.71231,0.71231,0.71474
